epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,39.5656,1.21668,1.33606,1.65489,0.3355,0.46282,0.26271,0.05137,3.11853,2.4326,4.08751,0.00159934,0.00159934,0.00159934
43,40.4218,1.16528,1.41673,1.65268,0.21979,0.4,0.16348,0.06177,3.00755,20.0337,5.38535,0.00159769,0.00159769,0.00159769
44,41.2743,1.26869,1.3916,1.69428,0.53998,0.15,0.04722,0.01037,3.36187,4.39521,5.33179,0.00159604,0.00159604,0.00159604
45,42.1334,1.19547,1.31558,1.63177,0.28841,0.30642,0.24121,0.06266,2.56069,2.80845,4.0789,0.00159439,0.00159439,0.00159439
46,42.9993,1.21159,1.24531,1.60273,0.17478,0.525,0.19547,0.03828,2.49237,8.42865,4.06319,0.00159274,0.00159274,0.00159274
47,44.1,1.16554,1.28944,1.5644,0.56236,0.45,0.41788,0.12873,2.3289,2.48478,3.46336,0.00159108,0.00159108,0.00159108
48,44.982,1.2114,1.31214,1.64039,0.53324,0.25,0.27817,0.0616,2.73504,2.51759,3.68445,0.00158943,0.00158943,0.00158943
49,45.8462,1.18034,1.27181,1.60953,0.7864,0.48899,0.59857,0.19097,2.33177,1.84835,3.18888,0.00158778,0.00158778,0.00158778
50,46.719,1.14537,1.14048,1.58686,0.59538,0.64963,0.5612,0.31271,1.84203,2.00597,2.70257,0.00158613,0.00158613,0.00158613
51,47.6005,1.18819,1.20387,1.58727,0.55822,0.5466,0.38437,0.21005,1.83449,2.65594,2.67327,0.00158448,0.00158448,0.00158448
52,48.71,1.10714,1.13238,1.55411,0.7355,0.42595,0.50092,0.18204,2.09762,2.47464,3.15769,0.00158283,0.00158283,0.00158283
53,49.5623,1.07671,1.09989,1.4995,0.68898,0.6,0.58852,0.18762,2.03585,2.23255,3.23562,0.00158118,0.00158118,0.00158118
54,50.4204,1.08569,1.06258,1.5109,0.58809,0.475,0.48232,0.19029,2.00098,2.12212,3.04844,0.00157953,0.00157953,0.00157953
55,51.279,1.15059,1.13673,1.57513,0.56945,0.4,0.40626,0.20301,1.95217,2.45792,3.06449,0.00157788,0.00157788,0.00157788
56,52.1551,1.1127,1.14314,1.55354,0.66781,0.55,0.62124,0.27403,2.03215,1.74285,3.3231,0.00157623,0.00157623,0.00157623
57,53.0365,1.03054,1.10126,1.47596,0.53273,0.625,0.5509,0.23319,2.19997,1.77958,3.34951,0.00157458,0.00157458,0.00157458
58,54.1528,1.10825,1.14912,1.54803,0.3542,0.55,0.39679,0.15078,2.20962,2.14609,3.32415,0.00157293,0.00157293,0.00157293
59,55.0193,1.13134,1.11123,1.52875,0.46258,0.45,0.22051,0.09542,2.0475,2.9042,3.08196,0.00157128,0.00157128,0.00157128
60,55.8813,1.17351,1.1805,1.55462,0.22518,0.25,0.17108,0.03913,2.64854,3.08864,3.61467,0.00156963,0.00156963,0.00156963
61,56.7471,1.09366,1.04379,1.50595,0.4546,0.425,0.33744,0.16686,1.95634,2.55805,2.86811,0.00156798,0.00156798,0.00156798
62,57.6157,1.18055,1.13682,1.5635,0.24829,0.375,0.23783,0.07028,2.0174,3.03886,2.65036,0.00156633,0.00156633,0.00156633
63,58.72,1.05301,1.04576,1.50868,0.30094,0.32824,0.17077,0.04972,2.11842,3.32153,2.81447,0.00156468,0.00156468,0.00156468
64,59.5782,1.08649,1.05442,1.49757,0.13727,0.325,0.05328,0.01532,2.1134,4.19347,2.87638,0.00156303,0.00156303,0.00156303
65,60.4537,1.14175,1.12786,1.57205,0.58803,0.3,0.10418,0.03717,2.10373,3.97844,2.90596,0.00156138,0.00156138,0.00156138
66,61.3276,1.07411,1.16276,1.49719,0.64927,0.6,0.58505,0.23395,2.22244,1.9127,3.09716,0.00155973,0.00155973,0.00155973
67,62.2001,1.03653,1.00782,1.48912,0.29573,0.51372,0.31483,0.10999,2.30275,2.50845,3.52195,0.00155808,0.00155808,0.00155808
68,63.0696,1.04465,1.0555,1.50127,0.31902,0.40499,0.25925,0.06999,2.56667,3.31284,3.84706,0.00155643,0.00155643,0.00155643
69,64.1868,1.09822,1.02281,1.53369,0.47453,0.6527,0.57399,0.2194,2.22292,2.21754,3.24668,0.00155478,0.00155478,0.00155478
70,65.0733,1.07759,1.00222,1.55444,0.37075,0.48752,0.34297,0.10616,2.23147,2.6764,3.01585,0.00155313,0.00155313,0.00155313
71,65.9501,1.04242,1.03235,1.47032,0.31245,0.44693,0.23171,0.07021,2.23759,2.72215,3.09279,0.00155148,0.00155148,0.00155148
72,66.8275,1.1873,1.13631,1.57181,0.609,0.625,0.62571,0.27628,1.8308,1.7023,2.82041,0.00154983,0.00154983,0.00154983
73,67.7101,1.10661,1.10564,1.5691,0.72158,0.725,0.79022,0.3942,1.75635,1.35695,2.68752,0.00154818,0.00154818,0.00154818
74,68.8416,1.05553,0.976,1.48377,0.72213,0.39971,0.24958,0.12223,1.74443,2.89307,2.74051,0.00154653,0.00154653,0.00154653
75,69.7122,1.05652,1.06459,1.46432,0.678,0.41472,0.16977,0.07544,1.81378,3.72994,2.84505,0.00154488,0.00154488,0.00154488
76,70.5785,1.01356,0.98409,1.4645,0.6506,0.70363,0.53994,0.26597,1.78454,2.29082,2.6622,0.00154323,0.00154323,0.00154323
77,71.4438,1.00337,0.98527,1.48174,0.70066,0.64676,0.5874,0.23056,1.99478,2.10065,2.84476,0.00154157,0.00154157,0.00154157
78,72.3135,1.0605,0.95051,1.49333,0.7066,0.7,0.71959,0.33224,1.77216,1.66259,2.6356,0.00153992,0.00153992,0.00153992
79,73.1928,1.07763,0.97853,1.48792,0.54327,0.675,0.72736,0.33593,1.70266,1.89273,2.52685,0.00153827,0.00153827,0.00153827
80,74.3048,1.05344,0.97276,1.47299,0.39443,0.39396,0.29151,0.1153,2.21829,2.91087,3.13374,0.00153662,0.00153662,0.00153662
81,75.1854,1.02707,0.98076,1.45487,0.60035,0.6077,0.5361,0.26243,1.98456,2.03849,3.01949,0.00153497,0.00153497,0.00153497
82,76.0612,1.07757,0.99502,1.54614,0.644,0.73191,0.69863,0.33398,1.83626,1.53889,3.01137,0.00153332,0.00153332,0.00153332
83,76.929,1.04945,1.02057,1.47902,0.55263,0.55,0.4293,0.19504,1.86145,2.5083,2.65577,0.00153167,0.00153167,0.00153167
84,77.8111,1.01557,0.94846,1.45736,0.66134,0.675,0.52936,0.23875,1.95281,2.22525,2.80927,0.00153002,0.00153002,0.00153002
85,78.9434,0.99172,0.86457,1.43199,0.80803,0.61896,0.67926,0.37526,1.75804,1.63926,2.72205,0.00152837,0.00152837,0.00152837
86,79.8042,0.93151,0.89103,1.40174,0.69117,0.8,0.77091,0.39658,1.78254,1.20937,2.86052,0.00152672,0.00152672,0.00152672
87,80.6879,1.00859,0.91705,1.47251,0.7857,0.55,0.68995,0.34155,1.8556,1.39079,2.96698,0.00152507,0.00152507,0.00152507
88,81.5572,1.0501,0.89239,1.47909,0.63207,0.85782,0.77146,0.32794,1.90701,1.48817,2.66991,0.00152342,0.00152342,0.00152342
89,82.4323,1.05213,0.86958,1.50472,0.62884,0.575,0.59815,0.22538,2.09373,1.79242,2.91186,0.00152177,0.00152177,0.00152177
90,83.3019,1.02943,0.8953,1.46952,0.62291,0.62086,0.65045,0.29496,1.91703,1.65715,2.77113,0.00152012,0.00152012,0.00152012
91,84.4085,1.008,0.93614,1.42503,0.62241,0.62538,0.63749,0.22807,2.09661,1.64343,2.968,0.00151847,0.00151847,0.00151847
92,85.2812,0.97068,0.92258,1.44439,0.69203,0.65,0.71939,0.33545,1.80942,1.4573,2.77397,0.00151682,0.00151682,0.00151682
93,86.1512,0.95582,0.90968,1.41015,0.79888,0.69216,0.81443,0.41386,1.66532,1.36178,2.65375,0.00151517,0.00151517,0.00151517
94,87.0315,0.96188,0.88379,1.3973,0.77191,0.825,0.79831,0.38973,1.74092,1.4655,2.54107,0.00151352,0.00151352,0.00151352
95,87.9093,0.99171,0.89472,1.41423,0.78194,0.75893,0.79154,0.35238,1.90482,1.48189,2.74478,0.00151187,0.00151187,0.00151187
96,89.0568,0.92744,0.85851,1.39706,0.77686,0.775,0.81708,0.35832,1.87058,1.40201,2.87952,0.00151022,0.00151022,0.00151022
97,89.921,1.02801,0.85592,1.43663,0.78988,0.7025,0.81857,0.38273,1.83993,1.37908,2.84924,0.00150857,0.00150857,0.00150857
